id,package_name,version,depends,predepends,description
1,xserver-xorg-input-vmmouse,1:13.0.0-1build1," libc6 (>= 2.7), xorg-input-abi-20, xserver-xorg-core (>= 2:1.14.99.902), xserver-xorg-input-mouse, udev",,X.Org X server -- VMMouse input driver to use with VMWare
2,libexempi3,2.2.1-1ubuntu1," libc6 (>= 2.14), libexpat1 (>= 2.0.1), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.6), zlib1g (>= 1:1.1.4)",multiarch-support,library to parse XMP metadata (Library)
3,ubuntu-release-upgrader-gtk,1:0.220.2," ubuntu-release-upgrader-core (= 1:0.220.2), update-manager, python3-distupgrade (= 1:0.220.2), python3-dbus, python3-gi (>= 3.8), gir1.2-vte-2.90, gir1.2-gtk-3.0, gir1.2-webkit-3.0",,manage release upgrades
4,python-pkg-resources,2.7," python:any (>= 2.7), python:any (<< 2.8)",,Package Discovery and Resource Access using pkg_resources
5,tcpd,7.6.q-25," libc6 (>= 2.4), libwrap0 (>= 7.6-4~)",,Wietse Venema's TCP wrapper utilities
6,deja-dup-backend-gvfs,30.0-0ubuntu4," deja-dup, gvfs-backends",,Remote server support for Déjà Dup
7,mysql-client-core-5.5,5.5.49-0ubuntu0.14.04.1," libc6 (>= 2.17), libreadline6 (>= 6.0), zlib1g (>= 1:1.1.4)",,MySQL database core client binaries
8,python3-aptdaemon.pkcompat,1.1.1-1ubuntu5," python3:any (>= 3.3.2-2~), python3-aptdaemon (= 1.1.1-1ubuntu5), gir1.2-packagekitglib-1.0 (>= 0.8.9)",,PackageKit compatibilty for AptDaemon
9,libbonoboui2-0,2.24.5-0ubuntu3," gconf-service, libart-2.0-2 (>= 2.3.19), libatk1.0-0 (>= 1.12.4), libbonobo2-0 (>= 2.15.0), libc6 (>= 2.14), libgconf-2-4 (>= 2.31.1), libgdk-pixbuf2.0-0 (>= 2.22.0), libglade2-0 (>= 1:2.6.1), libglib2.0-0 (>= 2.37.3), libgnome2-0 (>= 2.17.3), libgnomecanvas2-0 (>= 2.11.1), libgtk2.0-0 (>= 2.24.0), liborbit-2-0 (>= 1:2.14.10), libpopt0 (>= 1.14), libx11-6, libxml2 (>= 2.7.4), libbonoboui2-common (>= 2.24), libbonoboui2-common (<< 2.25)",multiarch-support,The Bonobo UI library
10,python-urllib3,1.7.1-1build1," python:any (>= 2.7.5-5~), python:any (<< 2.8), python-six",,HTTP library with thread-safe connection pooling for Python
11,libnotify-bin,0.7.6-1ubuntu3," libc6 (>= 2.3.4), libglib2.0-0 (>= 2.26), libnotify4 (>= 0.7.3)",,sends desktop notifications to a notification daemon (Utilities)
12,libtext-wrapi18n-perl,0.06-7, libtext-charwidth-perl,,internationalized substitute of Text::Wrap
13,libclutter-1.0-0,1.16.4-0ubuntu2," libatk1.0-0 (>= 2.5.3), libc6 (>= 2.14), libcairo-gobject2 (>= 1.10.0), libcairo2 (>= 1.10), libcogl-pango15 (>= 1.15.8), libcogl15 (>= 1.15.8), libfontconfig1 (>= 2.9.0), libglib2.0-0 (>= 2.37.3), libgtk-3-0 (>= 3.3.18), libjson-glib-1.0-0 (>= 0.12.0), libpango-1.0-0 (>= 1.30), libpangocairo-1.0-0 (>= 1.30), libpangoft2-1.0-0 (>= 1.30), libx11-6 (>= 2:1.2.99.901), libxcomposite1 (>= 1:0.3-1), libxdamage1 (>= 1:1.1), libxi6 (>= 2:1.2.99.4)",multiarch-support,Open GL based interactive canvas library
14,sane-utils,1.0.23-3ubuntu3.1," adduser, update-inetd, debconf (>= 0.5) | debconf-2.0, libavahi-client3 (>= 0.6.16), libavahi-common3 (>= 0.6.16), libc6 (>= 2.15), libieee1284-3, libsane, libusb-1.0-0 (>= 2:1.0.8)",,API library for scanners -- utilities
15,empathy-common,3.8.6-0ubuntu9.1,,,GNOME multi-protocol chat and call client (common files)
16,libgpod-common,0.8.3-4ubuntu3," libc6 (>= 2.14), libglib2.0-0 (>= 2.31.18), libgpod4-nogtk (>= 0.7.90) | libgpod4 (>= 0.7.90), libimobiledevice4 (>= 0.9.7), libplist1 (>= 0.16), libsgutils2-2 (>= 1.27), libusb-1.0-0 (>= 2:1.0.8), libxml2 (>= 2.7.4)",,common files for libgpod
17,libustr-1.0-1,1.0.4-3ubuntu2, libc6 (>= 2.14),multiarch-support,Micro string library: shared library
18,fonts-freefont-ttf,20120503-4,,,"Freefont Serif, Sans and Mono Truetype fonts"
19,ubuntu-ui-toolkit-theme,0.1.46+14.04.20140408.1-0ubuntu1,,dpkg (>= 1.15.6~),Qt Components for Ubuntu - Ubuntu Theme
20,java-common,0.51,,,Base of all Java packages
21,python-lxml,3.3.3-1ubuntu0.1," python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), libc6 (>= 2.14), libxml2 (>= 2.9.0), libxslt1.1 (>= 1.1.26)",,pythonic binding for the libxml2 and libxslt libraries
22,libqt5qml-graphicaleffects,5.2.1-1, libqt5qml5,dpkg (>= 1.15.6~),Qt 5 Graphical Effects module
23,hwdata,0.249-1," usbutils, pciutils",,hardware identification / configuration data
24,apturl-common,0.5.2ubuntu4," python3:any (>= 3.3.2-2~), python3-apt, python3-update-manager",,install packages using the apt protocol - common data
25,liblangtag1,0.5.1-2," libc6 (>= 2.17), libxml2 (>= 2.7.4), liblangtag-common (= 0.5.1-2)",,library to access tags for identifying languages
26,fonts-kacst,2.01+mry-10,,dpkg (>= 1.15.6~),KACST free TrueType Arabic fonts
27,fonts-tlwg-waree,1:0.5.1-3,,,Thai Waree font
28,libjson-glib-1.0-0,0.16.2-1ubuntu1," libc6 (>= 2.4), libglib2.0-0 (>= 2.37.3), libjson-glib-1.0-common (>= 0.16.2-1ubuntu1)",multiarch-support,GLib JSON manipulation library
29,libgssdp-1.0-3,0.14.7-1ubuntu1," libc6 (>= 2.7), libglib2.0-0 (>= 2.37.3), libsoup2.4-1 (>= 2.26.1)",,GObject-based library for SSDP
30,gir1.2-ebookcontacts-1.2,3.10.4-0ubuntu1.1," gir1.2-edataserver-1.2 (= 3.10.4-0ubuntu1.1), gir1.2-freedesktop, gir1.2-glib-2.0, libebook-contacts-1.2-0 (>= 3.8.2)",,GObject introspection for the EBook Contacts library
31,libgnomekbd8,3.6.0-0ubuntu2," libc6 (>= 2.14), libcairo2 (>= 1.2.4), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.26.0), libgtk-3-0 (>= 3.0.0), libpango1.0-0 (>= 1.22.0), libx11-6, libxklavier16 (>= 5.0), libgnomekbd-common (>= 3.6.0-0ubuntu2), iso-codes",,GNOME library to manage keyboard configuration - shared library
32,gnome-screenshot,3.10.1-0ubuntu1," libc6 (>= 2.7), libcairo2 (>= 1.10.0), libcanberra-gtk3-0 (>= 0.25), libcanberra0 (>= 0.2), libgdk-pixbuf2.0-0 (>= 2.23.0), libglib2.0-0 (>= 2.37.3), libgtk-3-0 (>= 3.3.16), libx11-6, libxext6, dconf-gsettings-backend | gsettings-backend",,screenshot application for GNOME
33,debconf,1.5.51ubuntu2,,perl-base (>= 5.6.1-4),Debian configuration management system
34,xserver-common,2:1.15.1-0ubuntu2," x11-common, xkb-data, x11-xkb-utils",,common files used by various X servers
35,gir1.2-goa-1.0,3.10.3-0ubuntu1," gir1.2-glib-2.0, libgoa-1.0-0b (>= 3.7.91)",,Introspection data for GNOME Online Accounts
36,unity-scope-devhelp,0.1+14.04.20140328-0ubuntu1," python3, python3-gi, python3-lxml, gir1.2-unity-5.0 (>= 7), gir1.2-dee-1.0 (>= 1.2.5), unity-scopes-runner, gir1.2-glib-2.0",,devhelp scope for Unity
37,libvsqlitepp3,0.3.12-1ubuntu1," libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libsqlite3-0 (>= 3.5.9), libstdc++6 (>= 4.4.0)",multiarch-support,SQLite3 Wrapper for C++
38,shotwell,0.18.0-0ubuntu4.1," libaccounts-glib0 (>= 1.0), libc6 (>= 2.14), libcairo2 (>= 1.2.4), libexif12, libgdk-pixbuf2.0-0 (>= 2.22.0), libgee-0.8-2 (>= 0.8.3), libgexiv2-2 (>= 0.6.1), libglib2.0-0 (>= 2.35.9), libgphoto2-6 (>= 2.5.2), libgphoto2-port10 (>= 2.5.2), libgstreamer-plugins-base1.0-0 (>= 1.0.0), libgstreamer1.0-0 (>= 1.0.0), libgtk-3-0 (>= 3.6.0), libgudev-1.0-0 (>= 146), libjson-glib-1.0-0 (>= 0.12.0), libpango-1.0-0 (>= 1.18.0), libpangocairo-1.0-0 (>= 1.14.0), libraw9 (>= 0.15.1), librest-0.7-0 (>= 0.7), libsignon-glib1 (>= 1.1), libsoup2.4-1 (>= 2.26.1), libsqlite3-0 (>= 3.5.9), libunity9 (>= 3.4.6), libwebkitgtk-3.0-0 (>= 1.3.10), libxml2 (>= 2.7.4), shotwell-common (= 0.18.0-0ubuntu4.1), librsvg2-common, dbus-x11",,digital photo organizer
39,python-aptdaemon,1.1.1-1ubuntu5," python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), python-apt (>= 0.8.5~ubuntu1), python-debian, python-defer, python-dbus, python-gi, gir1.2-glib-2.0, python-pkg-resources, iso-codes",,Python 2 module for the server and client of aptdaemon
40,gtk2-engines-murrine,0.98.2-0ubuntu2," libc6 (>= 2.4), libcairo2 (>= 1.2.4), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.24.0), libgtk2.0-0 (>= 2.24.5-4), libpango1.0-0 (>= 1.14.0), libpixman-1-0 (>= 0.15.14)",,cairo-based gtk+-2.0 theme engine
41,libasprintf0c2,0.18.3.1-1ubuntu3," libc6 (>= 2.14), libstdc++6 (>= 4.1.1)",multiarch-support,GNU library to use fprintf and friends in C++
42,libelf1,0.158-0ubuntu5.1, libc6 (>= 2.14),multiarch-support,library to read and write ELF files
43,memtest86+,4.20-1.1ubuntu8, debconf (>= 0.5) | debconf-2.0,,thorough real-mode memory tester
44,libltdl-dev,2.4.2-1.7ubuntu1, libltdl7 (= 2.4.2-1.7ubuntu1),,A system independent dlopen wrapper for GNU libtool
45,dash,0.5.7-4ubuntu1," debianutils (>= 2.15), dpkg (>= 1.15.0)",libc6 (>= 2.14),POSIX-compliant shell
46,python-gnome2,2.28.1+dfsg-1ubuntu2," python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), libbonobo2-0 (>= 2.15.0), libbonoboui2-0 (>= 2.15.1), libc6 (>= 2.4), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.24.0), libgnome2-0 (>= 2.17.3), libgnomecanvas2-0 (>= 2.11.1), libgnomeui-0 (>= 2.22.0), libgnomevfs2-0 (>= 1:2.17.90), libgtk2.0-0 (>= 2.8.0), liborbit-2-0 (>= 1:2.14.10), libpopt0 (>= 1.14), libpython2.7 (>= 2.7), python-gconf (= 2.28.1+dfsg-1ubuntu2), python-gtk2 (>= 2.10.3), python-pyorbit (>= 2.0.1-4), python-gobject-2 (>= 2.17.0)",,Python bindings for the GNOME desktop environment
47,libsocket6-perl,0.25-1," perl (>= 5.18.2-2), perlapi-5.18.2, libc6 (>= 2.4)",,Perl extensions for IPv6
48,libatspi2.0-0,2.10.2.is.2.10.1-0ubuntu1," libc6 (>= 2.7), libdbus-1-3 (>= 1.1.1), libglib2.0-0 (>= 2.37.3), libx11-6",multiarch-support,Assistive Technology Service Provider Interface - shared library
49,libart-2.0-2,2.3.21-2, libc6 (>= 2.14),multiarch-support,Library of functions for 2D graphics - runtime files
50,ibus-gtk3,1.5.5-1ubuntu3," libc6 (>= 2.4), libglib2.0-0 (>= 2.31.8), libgtk-3-0 (>= 3.0.0), libibus-1.0-5 (>= 1.5.4), libpango-1.0-0 (>= 1.14.0)",,Intelligent Input Bus - GTK+3 support
51,libgtk-3-common,3.10.8-0ubuntu1.1, dconf-gsettings-backend | gsettings-backend,,common files for the GTK+ graphical user interface library
52,python-six,1.5.2-1," python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2)",,Python 2 and 3 compatibility library (Python 2 interface)
53,unity-settings-daemon,14.04.0+14.04.20140606-0ubuntu1," libaccountsservice0 (>= 0.6.35-0ubuntu7), libasound2 (>= 1.0.16), libc6 (>= 2.14), libcairo2 (>= 1.10.0), libcanberra-gtk3-0 (>= 0.25), libcanberra0 (>= 0.2), libcolord1 (>= 0.1.31), libcups2 (>= 1.6.0), libfontconfig1 (>= 2.9.0), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3), libgnome-desktop-3-7 (>= 3.7.90), libgtk-3-0 (>= 3.7.10), libgudev-1.0-0 (>= 146), libibus-1.0-5 (>= 1.5.1), liblcms2-2 (>= 2.2+git20110628), libnotify4 (>= 0.7.3), libpango-1.0-0 (>= 1.22.0), libpulse-mainloop-glib0 (>= 1:0.99.1), libpulse0 (>= 1:0.99.1), librsvg2-2 (>= 2.36.2), libupower-glib1 (>= 0.9.0), libwacom2 (>= 0.7), libx11-6, libxext6, libxfixes3 (>= 1:4.0.1), libxi6 (>= 2:1.2.99.4), libxkbfile1, libxtst6, dconf-gsettings-backend | gsettings-backend, accountsservice (>= 0.6.34), gsettings-desktop-schemas (>= 3.7.2.1), nautilus-data (>= 2.91.3-1), gnome-settings-daemon-schemas (>= 3.8), gnome-settings-daemon-schemas (<< 3.10), gsettings-ubuntu-schemas (>= 0.0.1+14.04.20140224)",,daemon handling the Unity session settings
54,python-sip,4.15.5-1build1," python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), libc6 (>= 2.4)",,Python/C++ bindings generator runtime library
55,libpam-cap,1:2.24-0ubuntu2," libc6 (>= 2.4), libcap2 (>= 2.10), libpam0g (>= 0.99.7.1), libpam-runtime (>= 1.1.3-2~)",,PAM module for implementing capabilities
56,libpolkit-gobject-1-0,0.105-4ubuntu2," libc6 (>= 2.7), libglib2.0-0 (>= 2.37.3), libsystemd-login0 (>= 31)",multiarch-support,PolicyKit Authorization API
57,unity-greeter,14.04.10-0ubuntu1," dconf-gsettings-backend | gsettings-backend, libatk1.0-0 (>= 1.12.4), libc6 (>= 2.4), libcairo2 (>= 1.2.4), libcanberra0 (>= 0.2), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3), libgnome-desktop-3-7 (>= 3.7.90), libgtk-3-0 (>= 3.2.1), libido3-0.1-0 (>= 13.10.0daily13.06.19), libindicator3-7 (>= 0.4.90), liblightdm-gobject-1-0 (>= 1.4.0), libpango-1.0-0 (>= 1.14.0), libpangocairo-1.0-0 (>= 1.14.0), libpixman-1-0 (>= 0.30.0), libx11-6",,Unity Greeter
58,libraw1394-11,2.1.0-1ubuntu1, libc6 (>= 2.14),multiarch-support,library for direct access to IEEE 1394 bus (aka FireWire)
59,libthumbnailer0,1.1+14.04.20140401.1-0ubuntu1," libc6 (>= 2.14), libexif12, libgcc1 (>= 1:4.1.1), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.16.0), libgstreamer-plugins-base1.0-0 (>= 1.0.0), libgstreamer1.0-0 (>= 1.0.0), libsoup2.4-1 (>= 2.4.0), libstdc++6 (>= 4.8), libxml2 (>= 2.7.4)",multiarch-support,generate thumbnails from files
60,iproute2,3.12.0-2," libc6 (>= 2.14), libdb5.3",,networking and traffic control tools
61,shared-mime-info,1.2-0ubuntu3," libc6 (>= 2.14), libglib2.0-0 (>= 2.35.9), libxml2 (>= 2.7.4)",,FreeDesktop.org shared MIME database and spec
62,libreoffice-style-human,1:4.2.4-0ubuntu2,,,office productivity suite -- Human symbol style
63,libt1-5,5.1.2-3.6ubuntu1," libc6 (>= 2.14), libx11-6",,Type 1 font rasterizer library - runtime
64,libxdmcp6,1:1.1.1-1, libc6 (>= 2.4),multiarch-support,X11 Display Manager Control Protocol library
65,libjavascriptcoregtk-1.0-0,2.4.10-0ubuntu0.14.04.1," libc6 (>= 2.14), libglib2.0-0 (>= 2.36.0), libicu52 (>= 52~m1-1~), libstdc++6 (>= 4.8.1), zlib1g (>= 1:1.1.4)",multiarch-support,JavaScript engine library from WebKitGTK+
66,libgl1-mesa-dri,10.1.3-0ubuntu0.1," libc6 (>= 2.17), libdrm-intel1 (>= 2.4.48), libdrm-nouveau2 (>= 2.4.38), libdrm-radeon1 (>= 2.4.31), libdrm2 (>= 2.4.38), libelf1 (>= 0.142), libexpat1 (>= 2.0.1), libgcc1 (>= 1:4.1.1), libllvm3.4, libstdc++6 (>= 4.6)",multiarch-support,free implementation of the OpenGL API -- DRI modules
67,gvfs-bin,1.20.1-1ubuntu1," libc6 (>= 2.4), libglib2.0-0 (>= 2.37.0), gvfs-common (= 1.20.1-1ubuntu1)",,userspace virtual filesystem - binaries
68,libaccount-plugin-google,0.11+14.04.20140409.1-0ubuntu1," libaccount-plugin-1.0-0 (>= 0.0.6), libc6 (>= 2.2.5), libglib2.0-0 (>= 2.14.0), signon-plugin-oauth2",,GNOME Control Center account plugin for single signon - Google Auth
69,webbrowser-app,0.23+14.04.20140428-0ubuntu1," libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libqt5core5a (>= 5.2.0), libqt5gui5 (>= 5.0.2) | libqt5gui5-gles (>= 5.0.2), libqt5network5 (>= 5.0.2), libqt5qml5 (>= 5.0.2), libqt5quick5 (>= 5.2.0~rc1) | libqt5quick5-gles (>= 5.2.0~rc1), libqt5sql5 (>= 5.0.2), libqt5widgets5 (>= 5.0.2), libstdc++6 (>= 4.1.1), qtdeclarative-abi-5-2-1, liboxideqt-qmlplugin (>= 1.0.0~bzr490), qtdeclarative5-dialogs-plugin, qtdeclarative5-qtquick2-plugin, qtdeclarative5-ubuntu-ui-extras-browser-plugin (= 0.23+14.04.20140428-0ubuntu1), qtdeclarative5-ubuntu-ui-toolkit-plugin, qtdeclarative5-window-plugin",,Ubuntu web browser
70,empathy,3.8.6-0ubuntu9.1," libaccounts-glib0 (>= 1.0), libc6 (>= 2.7), libcairo2 (>= 1.2.4), libcanberra-gtk3-0 (>= 0.25), libcanberra0 (>= 0.2), libcheese-gtk23 (>= 3.4.0), libclutter-1.0-0 (>= 1.10.0), libclutter-gst-2.0-0 (>= 0.10.0), libclutter-gtk-1.0-0 (>= 1.4), libcogl15 (>= 1.15.8), libdbus-glib-1-2 (>= 0.88), libenchant1c2a (>= 1.6.0), libfarstream-0.2-2 (>= 0.1.91), libfolks-telepathy25 (>= 0.6.6), libfolks25 (>= 0.7.3), libgcr-base-3-1 (>= 3.8.0), libgcr-ui-3-1 (>= 3.8.0), libgdk-pixbuf2.0-0 (>= 2.22.0), libgee-0.8-2 (>= 0.8.3), libgeoclue0 (>= 0.11.1+git20091217), libglib2.0-0 (>= 2.37.3), libgnutls26 (>= 2.12.17-0), libgoa-1.0-0b (>= 3.5.1), libgstreamer-plugins-base1.0-0 (>= 1.0.0), libgstreamer1.0-0 (>= 1.0.0), libgtk-3-0 (>= 3.5.1), libgudev-1.0-0 (>= 146), libido3-0.1-0 (>= 0.1.8), libnotify4 (>= 0.7.0), libpango-1.0-0 (>= 1.18.0), libpulse-mainloop-glib0 (>= 1:0.99.1), libpulse0 (>= 1:0.99.1), libsecret-1-0 (>= 0.7), libsignon-glib1 (>= 1.1), libsoup2.4-1 (>= 2.4.0), libtelepathy-farstream3 (>= 0.6.0), libtelepathy-glib0 (>= 0.19.9), libtelepathy-logger3 (>= 0.8.0), libunity9 (>= 3.4.6), libwebkitgtk-3.0-0 (>= 1.3.10), libx11-6, libxml2 (>= 2.7.4), dconf-gsettings-backend | gsettings-backend, empathy-common (= 3.8.6-0ubuntu9.1), telepathy-mission-control-5 (>= 1:5.12.0), gsettings-desktop-schemas, gnome-icon-theme (>= 2.30.0), geoclue, telepathy-logger (>= 0.2.13), dbus-x11, gstreamer1.0-pulseaudio",,GNOME multi-protocol chat and call client
71,libevview3-3,3.10.3-0ubuntu10.1," libatk1.0-0 (>= 1.12.4), libc6 (>= 2.2.5), libcairo2 (>= 1.10.0), libevdocument3-4 (>= 3.9.5), libgail-3-0 (>= 3.0.0), libglib2.0-0 (>= 2.37.3), libgrip0 (>= 0.1.0), libgtk-3-0 (>= 3.8.0), libpango-1.0-0 (>= 1.14.0)",,"Document (PostScript, PDF) rendering library - Gtk+ widgets"
72,libnl-3-200,3.2.21-1, libc6 (>= 2.14),multiarch-support,library for dealing with netlink sockets
73,ure,4.2.4-0ubuntu2," uno-libs3 (= 4.2.4-0ubuntu2), libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.6), libxml2 (>= 2.7.4)",,LibreOffice UNO runtime environment
74,libsane-hpaio,3.14.3-0ubuntu3.2," libc6 (>= 2.14), libcups2 (>= 1.6.0), libdbus-1-3 (>= 1.0.2), libhpmud0",,HP SANE backend for multi-function peripherals
75,coreutils,8.21-1ubuntu5,,"libacl1 (>= 2.2.51-8), libattr1 (>= 1:2.4.46-8), libc6 (>= 2.17), libselinux1 (>= 1.32)",GNU core utilities
76,libqt5organizer5,5.0~git20140203~e0c5eebe-0ubuntu2," libc6 (>= 2.14), libqt5core5a (>= 5.2.0), libstdc++6 (>= 4.1.1), qtbase-abi-5-2-1",multiarch-support,"Qt PIM module, Organizer library"
77,libzip2,0.10.1-1.2," libc6 (>= 2.14), zlib1g (>= 1:1.1.4)",,"library for reading, creating, and modifying zip archives (runtime)"
78,libmtp-common,1.1.6-20-g1b9f164-1ubuntu2,,,Media Transfer Protocol (MTP) common files
79,gir1.2-secret-1,0.16-0ubuntu1," gir1.2-glib-2.0, libsecret-1-0 (>= 0.16)",,Secret store (GObject-Introspection)
80,libsane,1.0.23-3ubuntu3.1," acl, adduser, libsane-common (= 1.0.23-3ubuntu3.1), udev | makedev, libavahi-client3 (>= 0.6.16), libavahi-common3 (>= 0.6.16), libc6 (>= 2.15), libgphoto2-6 (>= 2.5.2), libgphoto2-port10 (>= 2.5.2), libieee1284-3, libjpeg8 (>= 8c), libtiff5 (>= 4.0.3), libusb-1.0-0 (>= 2:1.0.8), libv4l-0 (>= 0.5.0)",multiarch-support,API library for scanners
81,sudo,1.8.9p5-1ubuntu1," libc6 (>= 2.15), libpam0g (>= 0.99.7.1), libselinux1 (>= 1.32), libpam-modules",,Provide limited super user privileges to specific users
82,python3-aptdaemon.gtk3widgets,1.1.1-1ubuntu5," python3:any (>= 3.3.2-2~), python3-aptdaemon (= 1.1.1-1ubuntu5), python3-gi, gir1.2-gtk-3.0, gir1.2-vte-2.90, aptdaemon-data",,Python 3 GTK+ 3 widgets to run an aptdaemon client
83,libfreetype6,2.5.2-1ubuntu2.2," libc6 (>= 2.14), libpng12-0 (>= 1.2.13-4), zlib1g (>= 1:1.1.4)",multiarch-support,"FreeType 2 font engine, shared library files"
84,debianutils,4.4, sensible-utils,libc6 (>= 2.15),Miscellaneous utilities specific to Debian
85,printer-driver-pxljr,1.4+repack0-3," libc6 (>= 2.14), libijs-0.35 (>= 0.35), libjpeg8 (>= 8c), python3, xz-utils, cups-filters (>= 1.0.42) | foomatic-filters (>= 4.0.0~bzr156)",,printer driver for HP Color LaserJet 35xx/36xx
86,xfonts-mathml,6ubuntu1, xfonts-utils,,Type1 Symbol font for MathML
87,fonts-tlwg-typo,1:0.5.1-3,,,Thai TlwgTypo font
88,gnome-video-effects,0.4.1-0ubuntu1, gstreamer1.0-plugins-good,,GNOME Video Effects
89,openprinting-ppds,20140410-0ubuntu1," python3, xz-utils",,OpenPrinting printer support - PostScript PPD files
90,gstreamer1.0-plugins-good,1.2," libaa1 (>= 1.4p5), libavc1394-0 (>= 0.5.3), libbz2-1.0, libc6 (>= 2.17), libcaca0 (>= 0.99.beta17-1), libcairo-gobject2 (>= 1.10.0), libcairo2 (>= 1.10.0), libdv4, libflac8 (>= 1.3.0), libgcc1 (>= 1:4.1.1), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3), libgstreamer-plugins-base1.0-0 (>= 1.2.1), libgstreamer-plugins-good1.0-0 (= 1.2.4-1~ubuntu1), libgstreamer1.0-0 (>= 1.2.0), libiec61883-0 (>= 1.2.0), libjack-jackd2-0 (>= 1.9.5~dfsg-14) | libjack-0.116, libjpeg8 (>= 8c), liborc-0.4-0 (>= 1:0.4.18), libpng12-0 (>= 1.2.13-4), libraw1394-11, libshout3, libsoup2.4-1 (>= 2.38), libspeex1 (>= 1.2~beta3-1), libstdc++6 (>= 4.1.1), libtag1c2a (>= 1.5), libv4l-0 (>= 0.5.0), libvpx1 (>= 1.3.0), libwavpack1 (>= 4.40.0), libx11-6, libxdamage1 (>= 1:1.1), libxext6, libxfixes3, libxv1, zlib1g (>= 1:1.1.4), gstreamer1.0-plugins-base",,GStreamer plugins from the  good  set
91,pulseaudio-module-x11,1:4.0-0ubuntu11," libc6 (>= 2.4), libice6 (>= 1:1.0.0), libpulse0, libsm6, libx11-6, libxcb1, libxtst6, pulseaudio, pulseaudio-utils",,X11 module for PulseAudio sound server
92,samba,2:4.3.8+dfsg-0ubuntu0.14.04.2," adduser, libpam-modules, libpam-runtime (>= 1.0.1-11), lsb-base (>= 4.1+Debian), procps, python (>= 2.7), python-dnspython, python-samba, samba-common (= 2:4.3.8+dfsg-0ubuntu0.14.04.2), samba-common-bin (= 2:4.3.8+dfsg-0ubuntu0.14.04.2), tdb-tools, update-inetd, sysv-rc (>= 2.88dsf-24) | file-rc (>= 0.8.16), python (<< 2.8), python2.7:any, libbsd0 (>= 0.0), libc6 (>= 2.14), libldb1 (>= 0.9.21), libpopt0 (>= 1.14), libpython2.7 (>= 2.7), libtalloc2 (>= 2.0.4~git20101213), libtdb1 (>= 1.2.7+git20101214), libtevent0 (>= 0.9.16), samba-libs (= 2:4.3.8+dfsg-0ubuntu0.14.04.2)","dpkg (>= 1.15.6~), multiarch-support","SMB/CIFS file, print, and login server for Unix"
93,libdbi-perl,1.630-1," perl (>= 5.18.1-4build1), perlapi-5.18.1, libc6 (>= 2.4)",,Perl Database Interface (DBI)
94,libxcb-shm0,1.10-2ubuntu1," libc6 (>= 2.2.5), libxcb1 (>= 1.9.2)",multiarch-support,"X C Binding, shm extension"
95,libclass-accessor-perl,0.34-1," perl, libsub-name-perl",,Perl module that automatically generates accessors
96,libxmuu1,2:1.1.1-1," libc6 (>= 2.4), libx11-6",multiarch-support,X11 miscellaneous micro-utility library
97,gnome-terminal,3.6.2-0ubuntu1," gconf-service, libatk1.0-0 (>= 1.12.4), libc6 (>= 2.4), libgconf-2-4 (>= 2.31.1), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3), libgtk-3-0 (>= 3.3.16), libice6 (>= 1:1.0.0), libpango-1.0-0 (>= 1.14.0), libsm6, libvte-2.90-9 (>= 1:0.34.9), libx11-6, gsettings-desktop-schemas (>= 0.1.0), gnome-terminal-data (>= 3.6), gnome-terminal-data (<< 3.7)",,GNOME terminal emulator application
98,duplicity,0.6.23-1ubuntu4.1," libc6 (>= 2.4), librsync1 (>= 0.9.6), python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), python-lockfile",,encrypted bandwidth-efficient backup
99,libgsoap4,2.8.16-2," libc6 (>= 2.15), libgcc1 (>= 1:4.1.1), libssl1.0.0 (>= 1.0.0), libstdc++6 (>= 4.4.0), zlib1g (>= 1:1.1.4)",multiarch-support,Runtime libraries for gSOAP
100,gdb,7.7-0ubuntu3.1," libc6 (>= 2.15), libexpat1 (>= 2.0.1), liblzma5 (>= 5.1.1alpha+20110809), libncurses5 (>= 5.5-5~), libpython3.4 (>= 3.4~b1), libreadline6 (>= 6.0), libtinfo5, zlib1g (>= 1:1.2.0), libpython3-stdlib",,GNU Debugger
